id,URL,Created Date,Likes,Comments,Shares,Description,Link,Group Name,
475100886335230_523482788163706,https://www.facebook.com/groups/475100886335230/permalink/523482788163706/,1/28/2019 12:59:58 PM,1,0,0,https://m.facebook.com/story.php?story_fbid=10213660265840455&id=1218612054 PLEASE WATCH!!!  Most important video you will ever watch!  PROJECTIONS UNSUSTAINABLE!! SHARE & WAKE UP",https://www.youtube.com/attribution_link?a=dilOPwKrLJs&u=%2Fwatch%3Fv%3Dmuw22wTePqQ%26feature%3Dshare,#Walkaway Blue States,
475100886335230_519823228529662,https://www.facebook.com/groups/475100886335230/permalink/519823228529662/,1/21/2019 10:56:42 PM,0,1,0,https://bigleaguepolitics.com/native-activist-who-harassed-catholic-teens-identified-as-actor-from-2012-skrillex-video-about-attacking-police/,https://bigleaguepolitics.com/native-activist-who-harassed-catholic-teens-identified-as-actor-from-2012-skrillex-video-about-attacking-police/,#Walkaway Blue States,
475100886335230_518745855304066,https://www.facebook.com/groups/475100886335230/permalink/518745855304066/,1/19/2019 11:58:23 PM,7,0,0,GOVT INSIDER SAYS 15% OF WORKER are Patriots GET WORK DONE.   "But 80 percent feel no pressure to produce results. If they don’t feel like doing what they are told  they don’t. Why would they? We can’t fire them. They avoid attention  plan their weekend  schedule vacation  their second job  their next position"  After 30 days Trump has the option to permanently lay off all the waste. https://dailycaller.com/2019/01/14/smoke-out-resistance/,https://dailycaller.com/2019/01/14/smoke-out-resistance/,#Walkaway Blue States,
475100886335230_517540268757958,https://www.facebook.com/groups/475100886335230/permalink/517540268757958/,1/17/2019 10:39:51 PM,2,1,0,https://m.facebook.com/story.php?story_fbid=10213593687376035&id=1218612054,https://www.nydailynews.com/news/politics/ny-news-caravan-wall-shutdown-trump-20190114-story.html,#Walkaway Blue States,
475100886335230_515938468918138,https://www.facebook.com/groups/475100886335230/permalink/515938468918138/,1/15/2019 12:34:45 AM,0,0,0,WEAPONIZED DEM BIG GOVT IS BIGGEST THREAT TO CONSERVATIVES & RULE OF LAW & OUR CONSTITUTION!  Illegals are RECEIVING BENEFITS with THESE SS#s  they are also VOTING with DRIVER'S LICENSES or NO ID at all.  ,https://www.forbes.com/sites/robertwood/2016/04/13/irs-admits-it-encourages-illegals-to-steal-social-security-numbers-for-taxes/#5456aa274c04,#Walkaway Blue States,
475100886335230_515305568981428,https://www.facebook.com/groups/475100886335230/permalink/515305568981428/,1/13/2019 8:26:07 PM,1,0,0,https://m.facebook.com/story.php?story_fbid=10213569140402376&id=1218612054,https://www.washingtonexaminer.com/washington-secrets/30-dems-in-puerto-rico-with-109-lobbyists-for-weekend-despite-shutdown,#Walkaway Blue States,
475100886335230_514722425706409,https://www.facebook.com/groups/475100886335230/permalink/514722425706409/,1/12/2019 9:33:41 PM,0,1,0,WOW!!! GERMANY BANNED HOME SCHOOLING! German families moving to USA to HOME SCHOOL so kids are not indoctrinated by SOCIALISM!!  https://www.facebook.com/1218612054/posts/10213563349297602/,https://buff.ly/2VFe7Nc,#Walkaway Blue States,
475100886335230_514688822376436,https://www.facebook.com/groups/475100886335230/permalink/514688822376436/,1/12/2019 7:52:34 PM,1,0,0,CNN GOES TO SAN DIEGO WALL FOR INTERVIEW BUT THEY WERE PRO TRUMP WALL BEING VERY EFFECTIVE!!  SO CNN REFUSES TO BROADCAST  BUT LOCAL NEWS SHAMES THEM FOR REFUSING TO REPORT TRUTH!!  https://m.facebook.com/story.php?story_fbid=10213562815564259&id=1218612054,https://www.foxnews.com/opinion/local-san-diego-tv-station-schools-cnn-on-reality-that-border-walls-worksan-diego-tv-station-schools-cnn-on-reality-that-border-walls-work,#Walkaway Blue States,
475100886335230_513627622482556,https://www.facebook.com/groups/475100886335230/permalink/513627622482556/,1/10/2019 10:50:10 PM,1,2,0,Call his network & demand his "show" be cancelled. People have the power to shut up this narcissistic jerk. 😠,https://defensemaven.io/bluelivesmatter/news/comedian-seth-meyers-mocks-murdered-officer-s-family-other-victims-fRNbVTkOtU-cYxyUFHZG9A/,#Walkaway Blue States,
475100886335230_511652356013416,https://www.facebook.com/groups/475100886335230/permalink/511652356013416/,1/7/2019 6:50:29 AM,2,5,0,This is very scarey that DEMS PUSHING SOCIALISM as well as HOW liberal media and education system has indoctrinated FUTURE GENERATIONS to BELIEVE in SOCIALISM OVER CAPITALISM!!  ,https://www.foxnews.com/politics/americans-warming-to-socialism-over-capitalism-polls-show,#Walkaway Blue States,
475100886335230_509765539535431,https://www.facebook.com/groups/475100886335230/permalink/509765539535431/,1/3/2019 8:07:47 PM,2,1,0,]WOW!!!! THIS IS HUGE & WILL TAKE DOWN CORRUPT OBAMA ADMN FBI  CIA  DOJ  AND NSA...ALL WEAPONIZED AGAINST TRUMP. SPECIAL COUNSEL MUELLER KNEW IT ALL& COVERED UP. https://m.facebook.com/story.php?story_fbid=10213508562247960&id=1218612054ppp,https://bigleaguepolitics.com/evidence-brennan-and-clapper-hacked-fisa-court-judge-reggie-walton-comey-covered-it-up/,#Walkaway Blue States,
475100886335230_509752702870048,https://www.facebook.com/groups/475100886335230/permalink/509752702870048/,1/3/2019 7:23:18 PM,0,0,0,Watch for FREE BELOW "DEATH OF A NATION" IS DINESH SOUZA'S MOVIE THAT WAS IN THEATERS this year. PLEASE SHARE TO INSPIRE PATRIOTS TO GET ENGAGED & FIGHT FOR OUR FREEDOM & LIBERTY IN OUR SOVERIEGN CONSTITUTION THAT LIBERAL SOCIALISTS AND ONE WORLD GOVT GLOBALISTS ARE TRYING TO STRIP FROM US!! Lhttps://m.youtube.com/watch?fbclid=IwAR08h_HH9-r7savDfDfhvWQXfRY5vIq_u3cSduzTHgdMl3eF83lhkJ8oKpY&v=zlzY10ldTwU#dialog,https://m.youtube.com/watch?fbclid=IwAR08h_HH9-r7savDfDfhvWQXfRY5vIq_u3cSduzTHgdMl3eF83lhkJ8oKpY&v=zlzY10ldTwU#dialog,#Walkaway Blue States,
475100886335230_507969319715053,https://www.facebook.com/groups/475100886335230/permalink/507969319715053/,12/31/2018 3:03:27 PM,3,0,0,,https://thefederalistpapers.org/opinion/bombshell-giuliani-says-mueller-insurance-policy-remove-trump,#Walkaway Blue States,
